job_title,company_name,company_location,time,job_type,work_location,level,experince_years,job_skills,url
"AI & Data Science Python Developer Intern","Sequel Solutions","Cairo, Egypt","1 month ago","Internship","Remote","Student","0 - 1 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Algorithms - Information Technology (IT) - Python - Software - Software Development - Software Engineering - Programming","https://wuzzuf.net/internship/1kma8fGoLuav-AI-Data-Science-Python-Developer-Intern-Sequel-Solutions-Cairo-Egypt"
"Data Analyst","EGEC","Haram, Giza, Egypt","4 days ago","Full Time","On-site","Experienced","2 - 5 Yrs of Exp","Accounting/Finance - Analyst/Research - Engineering - Other - analytical - AnalysisComputer Science - ReportingData Analysis - Communication skills","https://wuzzuf.net/jobs/p/F99QNVxDd8Yp-Data-Analyst-EGEC-Giza-Egypt"
"Data Engineer","Hands of Hope Physical Therapy & Wellness","Maadi, Cairo, Egypt","5 days ago","Full Time","On-site","Experienced","2 - 7 Yrs of Exp","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - Computer EngineeringData ModelingDatabaseDatabase Design - Design - Engineering - ETL","https://wuzzuf.net/jobs/p/0yNNI8gqx135-Data-Engineer-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt"
"Data Analyst","Alarabia Group","Cairo, Egypt","10 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","IT/Software Development - Analyst/Research - Sales/Retail - businessComputer Science - Analysis - Computer SkillsData Analysis - Information Technology (IT) - Sales","https://wuzzuf.net/jobs/p/g31LAuLyaUXD-Data-Analyst-Alarabia-Group-Cairo-Egypt"
"Data Analyst","Tiba Egypt","Haram, Giza, Egypt","12 days ago","Full Time","On-site","Experienced","1 - 5 Yrs of Exp","Analyst/Research - Analysis - business - CommerceComputer ScienceDataData Analysis - excel - FMCG - analytical","https://wuzzuf.net/jobs/p/N9p4GXhkCKsK-Data-Analyst-Tiba-Egypt-Giza-Egypt"
"Data/Artificial Intelligence Sr. Consultant","Exco Egypt","Nasr City, Cairo, Egypt","13 days ago","Full Time","On-site","Manager","10 - 16 Yrs of Exp","Strategy/Consulting - Artificial IntelligenceComputer Science - Software DevelopmentData Engineer","https://wuzzuf.net/jobs/p/MirKjNxU7veX-DataArtificial-Intelligence-Sr-Consultant-Exco-Egypt-Cairo-Egypt"
"Big Data Consultant","Exco Egypt","Nasr City, Cairo, Egypt","13 days ago","Full Time","On-site","Manager","10 - 16 Yrs of Exp","Analyst/Research - Strategy/ConsultingBig Data - AnalysisData Management - Computer EngineeringData Science","https://wuzzuf.net/jobs/p/egjM6VMefvKW-Big-Data-Consultant-Exco-Egypt-Cairo-Egypt"
"Senior Data Architect","APS Resources","Giza, Egypt","15 days ago","Part Time / Freelance / Project","Remote","Experienced","3 - 5 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyData Analysis - DevOps - Python - Information Technology (IT)Data ScienceData Architecture - Microservice Architecture - Apache Spark","https://wuzzuf.net/jobs/p/97O2ObOpbmtz-Senior-Data-Architect-APS-Resources-Giza-Egypt"
"Telesales Representative & Data Collector","Diamond","Haram, Giza, Egypt","16 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","R&D/Science - Sales/Retail - Sales Field - TelesalesData collectorFood Science","https://wuzzuf.net/jobs/p/8Y2P0AHSZO5Z-Telesales-Representative-Data-Collector-Diamond-Giza-Egypt"
"Data Marketing Analyst","Madar Soft","Fleming, Alexandria, Egypt","17 days ago","Full Time","Remote","Experienced","2 - 3 Yrs of Exp","Marketing/PR/Advertising - Analyst/Research - CRM - Analysis - analyticalData Analysis - Google Analytics - Market Research - SPSS - SAS","https://wuzzuf.net/jobs/p/7Y5gV4BJSesN-Data-Marketing-Analyst-Madar-Soft-Alexandria-Egypt"
